Date,Bytes
2009-06-16,725226
2008-07-30,75405
2012-11-05,859332
2013-03-05,359999
2013-07-26,4994873
2009-04-30,80948
2012-07-22,254546
2008-08-12,269463
2009-06-15,93236
2010-03-26,275650
2012-11-10,328656
2013-06-24,147180
2013-07-02,864678
2012-05-16,208309
2010-02-21,467097
2009-09-23,386391
2010-05-25,242286
2009-09-10,361700
2009-01-29,377555
2009-05-10,252996
2012-08-31,104245
2008-10-03,130757
2013-01-09,750046
2010-08-30,1267941
2010-03-02,1412101
2009-10-22,298105
2012-12-04,289319
2010-04-20,152882
2010-04-27,519000
2011-08-03,2029543
2013-07-22,3590932
2009-08-07,386210
2013-03-12,253595
2009-07-31,437967
2009-10-05,382770
2011-12-25,186067
2010-03-16,203179
2010-01-14,81796
2009-08-25,171610
2010-06-06,343889
2009-09-10,126325
2009-12-13,759823
2012-04-21,234023
2009-04-28,356681
2008-12-27,157228
2013-03-12,355210
2013-06-28,326151
2013-02-25,422503
2013-07-19,1496212
2013-03-04,194435
2012-09-01,243439
2009-08-07,1240412
2009-01-13,114213
2008-08-05,180451
2010-03-31,928218
2008-11-12,134225
2010-01-03,359162
2013-07-22,2376207
2009-05-29,339657
2012-07-28,1064896
2009-11-29,67946
2009-12-29,100201
2008-08-19,64092
2008-11-22,287530
2010-04-27,136264
2008-08-15,218849
2010-04-05,457703
2013-02-03,1384670
2011-11-28,519588
2010-11-14,534458
2010-04-20,391644
2009-04-21,433038
2008-07-28,177001
2011-08-12,618029
2011-05-13,765743
2010-06-14,100461
2009-12-06,204819
2009-05-12,294991
2010-04-21,419511
2008-11-13,377547
2010-03-29,82861
2011-06-26,197242
2010-01-13,247047
2009-01-19,99101
2008-09-30,80500
2010-03-22,311739
2012-09-24,181722
2008-09-24,67579
2009-03-18,331111
2009-03-22,1847945
2010-06-11,179567
2012-08-20,1527955
2010-01-19,142623
2009-09-12,109937
2012-02-21,167866
2008-10-04,119708
2011-06-23,182487
2012-06-29,628889
2010-05-23,143605
2009-08-31,474813
2009-04-28,246397
2008-10-02,361717
2008-10-03,183077
2008-12-23,331225
2011-10-06,165806
2013-05-06,606707
2010-10-19,836640
2010-04-08,27928
2009-01-18,156783
2009-04-13,174926
2008-08-21,77750
2012-07-25,176421
2013-07-03,600928
2008-09-09,1533618
2011-04-08,235198
2012-07-17,107637
2010-04-27,729947
2008-11-15,106583
2008-09-11,182129
2008-09-15,247914
2009-08-04,328165
2008-08-28,69655
2010-02-19,149393
2011-07-23,87397
2012-05-21,172486
2009-07-15,602354
2011-06-05,125016
2011-01-03,599050
2009-07-22,304289
2011-08-25,219317
2013-05-30,361754
2008-12-17,762830
2010-05-02,178751
2010-08-24,200990
2013-01-04,1138939
2008-08-20,247267
2013-01-25,256603
2009-01-28,417319
2013-05-04,1734899
2010-09-15,284613
2009-11-12,171176
2008-10-13,309529
2009-03-31,115850
2009-05-08,63220
2009-03-08,91329
2012-06-13,253567
2012-04-25,230380
2010-09-14,378138
2010-01-20,239447
2012-07-23,382524
2009-02-17,344754
2010-04-05,261970
2010-01-04,107460
2009-08-03,141411
2008-08-04,284407
2009-08-30,487508
2011-04-26,239955
2013-07-04,244761
2009-06-01,68326
2013-07-26,444126
2008-09-13,77804
2011-03-14,79047
