Date,NumFiles
2013-01-18,528
2013-03-13,162
2012-08-22,32
2013-01-02,45
2013-02-20,87
2009-10-27,20
2009-07-09,151
2012-11-05,43
2012-02-28,40
2008-07-29,46
2013-05-28,42
2012-02-26,48
2013-02-25,19
2012-06-18,20
2012-07-17,68
2008-12-06,25
2013-05-03,23
2009-01-19,29
2012-08-06,90
2013-04-04,208
2009-08-23,21
2009-07-10,81
2011-05-08,52
2009-06-27,16
2013-05-07,374
2010-05-12,40
2010-05-28,14
2013-04-15,68
2010-03-31,20
2010-03-23,38
2012-12-16,71
2013-02-28,59
2013-03-05,52
2013-07-13,215
2008-08-04,22
2008-11-04,32
2013-01-23,138
2009-05-14,27
2013-06-24,20
2009-10-21,33
2009-05-04,34
2008-11-06,29
2009-10-01,36
2012-12-22,78
2009-04-27,83
2011-07-03,27
2008-10-24,32
2012-06-14,66
2009-05-31,29
2008-08-06,20
2008-07-29,25
2009-06-11,26
2012-11-13,31
2010-02-06,29
2010-01-16,29
2012-03-17,47
2009-09-23,35
2013-04-09,127
2008-10-15,42
2013-07-02,63
2010-04-14,19
2013-01-05,121
2012-09-10,55
2013-07-24,179
2009-06-30,36
2011-09-22,42
2009-04-18,41
2008-09-24,46
2010-08-17,52
2008-10-11,20
2010-11-15,27
2009-10-03,42
2008-12-14,48
2009-09-27,17
2008-09-18,28
2009-01-26,36
2013-06-15,113
2012-06-30,70
2008-09-11,24
2013-05-10,42
2009-04-22,27
2012-01-06,31
2011-10-04,172
2013-05-16,97
2011-01-20,41
2012-01-18,51
2012-03-15,44
2010-05-25,71
2011-09-10,26
2008-11-06,23
2008-11-12,17
2008-08-02,14
2012-10-01,99
2010-04-30,50
2008-09-18,19
2012-08-24,127
2011-08-29,132
2009-06-30,30
2008-09-10,19
2009-08-23,21
2009-02-26,38
2011-06-05,37
2011-06-05,48
2009-05-18,50
2009-06-23,53
2012-12-07,81
2012-12-07,45
2012-12-07,37
2009-02-02,17
2010-08-26,61
2009-06-15,37
2011-01-23,59
2013-05-05,96
2010-08-12,83
2009-03-20,94
2009-04-14,17
2009-10-08,30
2009-12-21,51
2009-04-03,20
2011-09-26,39
2009-07-16,47
2011-03-26,18
2010-02-12,119
2012-03-28,33
2008-07-31,40
2009-09-21,18
2008-11-17,21
2009-10-21,26
2009-09-23,32
2012-10-08,116
2012-07-07,51
2013-07-22,30
2012-07-28,86
2010-02-16,27
2013-05-22,76
2008-10-17,47
2008-07-25,29
2009-07-02,40
2009-12-29,27
2013-01-11,57
2009-03-16,28
2010-06-17,53
2009-07-15,48
2009-10-20,33
2013-02-28,99
2008-12-22,21
2008-11-09,22
2009-02-04,20
2009-02-10,28
2008-10-20,30
2013-07-25,41
2009-07-09,31
2010-08-12,31
2009-04-28,41
2013-03-14,56
2013-07-08,137
2012-07-18,114
2009-04-18,9
2011-01-20,42
2011-08-23,35
2010-10-15,45
2012-10-13,26
2009-08-17,30
2009-08-10,104
2009-09-21,26
2013-06-10,298
2012-05-03,376
2009-01-18,26
2009-10-01,36
2009-10-07,45
2011-02-25,52
2012-04-27,44
2009-01-06,29
2008-11-12,27
2008-09-29,11
2010-05-06,25
2013-05-12,40
2008-07-31,21
2009-02-09,24
2010-06-08,238
2008-09-30,24
2009-01-20,38
2009-12-11,19
2009-10-26,31
2013-02-07,39
2011-06-21,26
2011-08-03,22
2011-07-11,22
2012-08-02,24
2010-06-03,32
2009-08-05,23
2008-11-07,17
2011-10-13,133
2013-05-10,81
2009-10-02,31
2012-12-02,111
2012-12-19,51
2011-04-19,122
2008-12-03,31
2010-05-12,33
2013-06-01,46
2008-12-17,26
2009-08-29,43
2012-12-11,81
2013-07-07,30
2010-02-02,28
2009-05-31,18
2012-10-16,21
2012-01-02,26
2009-04-10,25
2008-07-19,36
2010-01-08,24
2008-08-20,35
2010-01-03,21
2009-07-25,37
2008-07-27,14
2008-08-02,12
2008-11-04,11
2011-08-21,73
2009-01-12,55
2010-05-17,17
2013-02-12,56
2010-06-09,15
2009-01-30,43
2013-04-16,144
2013-04-16,118
2013-06-21,110
2013-06-21,114
2013-06-03,118
2013-06-03,123
2013-02-23,110
2013-06-28,112
2013-06-28,124
2012-12-16,111
2012-12-16,118
2013-01-11,77
2012-06-21,141
2010-05-27,176
2009-05-28,25
2010-05-16,15
2008-12-09,43
2008-11-27,45
2010-06-09,28
2012-01-26,58
2010-06-09,16
2011-09-04,33
